"sale_dttm","card_number","coffee_type","price","discount","grocery_flg"
"10/01/2021 10:52",1,a,75,5,1
"10/01/2021 13:33",1,b,40,5,0
"10/01/2021 13:45",2,a,75,3,1
"12/01/2021 18:01",1,c,95,3,1
"11/01/2021 11:52",1,a,75,5,1
"13/01/2021 12:08",3,b,65,4,1
"16/01/2021 13:45",2,a,75,3,1
"14/01/2021 18:01",1,c,95,3,1
"14/01/2021 10:52",3,a,75,5,1
"16/01/2021 13:33",1,b,40,5,0
"17/01/2021 13:33",2,a,75,3,1
"17/01/2021 18:01",1,c,95,3,1
"11/02/2021 10:52",1,a,75,5,1
"12/02/2021 13:33",1,b,40,5,0
"13/02/2021 13:45",2,a,75,3,1
"15/02/2021 18:01",1,c,95,3,1
"14/02/2021 11:52",1,a,75,5,1
"22/02/2021 12:08",3,b,65,4,1
"23/02/2021 13:45",2,a,75,3,1
"24/02/2021 18:01",1,c,95,3,1
"24/02/2021 10:52",3,a,75,5,1
"25/02/2021 13:33",1,b,40,5,0
"26/02/2021 13:33",2,a,75,3,1
"27/02/2021 18:01",1,c,95,3,1
"26/02/2021 15:05",2,b,40,3,0
"27/02/2021 15:36",2,b,65,4,1
